,city,cloudiness,country name,humidity,latitude,temperature,windspeed
0,bluff,1,NZ,58,-46.6,69.01,1.99
1,lorengau,99,PG,82,-2.02,81.54,9.82
2,beidao,59,CN,26,34.57,60.69,1.12
3,touros,75,BR,94,-5.2,77.0,4.7
4,buin,52,CL,43,-33.73,69.8,8.05
5,xam nua,6,LA,22,20.42,88.12,5.12
6,longyearbyen,69,SJ,70,78.22,-2.2,18.34
7,airai,94,TL,46,-8.93,73.06,2.48
8,atuona,5,PF,74,-9.8,82.63,16.06
9,hobart,75,AU,45,-42.88,62.46,12.75
10,llangefni,12,GB,70,53.26,41.22,6.93
11,harper,26,LR,86,4.38,80.35,8.12
12,huanren,100,CN,37,41.26,54.07,9.42
13,carnarvon,69,AU,38,-24.87,77.0,24.16
14,rikitea,29,PF,75,-23.12,78.48,4.85
15,jumla,9,NP,13,29.27,58.57,1.23
16,kruisfontein,1,ZA,87,-34.0,59.49,6.73
17,busselton,97,AU,44,-33.65,69.94,4.45
18,caravelas,1,BR,86,-17.71,77.83,6.71
19,seddon,40,AU,55,-37.81,67.64,9.17
20,qaanaaq,82,GL,68,77.48,-3.03,4.09
21,susaki,75,JP,63,33.37,64.4,3.36
22,verkhnevilyuysk,100,RU,96,63.45,23.04,5.48
23,montalban,90,FR,86,44.02,38.14,1.12
24,kargasok,100,RU,93,59.06,35.65,12.24
25,mar del plata,90,AR,82,-38.0,63.12,17.22
26,necochea,96,AR,87,-38.55,60.01,8.99
27,oranjestad,75,AW,74,12.52,80.6,18.34
28,alofi,75,NU,79,-19.06,87.8,9.17
29,ribeira grande,54,PT,76,38.52,58.84,21.65
30,albany,90,US,93,42.6,39.63,3.06
31,bol,14,TD,24,13.46,87.31,12.26
32,conceicao do araguaia,75,BR,88,-8.26,75.06,1.48
33,ushuaia,40,AR,57,-54.8,50.0,23.04
34,jamestown,90,US,100,42.1,37.81,6.93
35,saint george,1,US,31,37.1,57.74,8.05
36,kapaa,75,US,69,22.08,75.25,14.99
37,banjar,40,ID,84,-8.19,87.8,6.93
38,arraial do cabo,75,BR,88,-22.97,75.51,4.7
39,mataura,0,NZ,57,-46.19,69.01,1.01
40,wanning,30,CN,72,18.8,83.46,10.13
41,nikolskoye,3,RU,78,59.7,21.49,6.71
42,bolotnoye,95,RU,92,55.67,31.15,14.38
43,abnub,24,EG,18,27.27,72.81,12.86
44,sfantu gheorghe,100,RO,87,45.87,30.13,2.42
45,dikson,98,RU,92,73.51,-3.55,5.61
46,kodiak,1,US,29,57.79,37.4,11.41
47,saint-philippe,75,RE,78,-21.36,70.72,6.93
48,lebu,0,CL,74,-37.62,56.07,14.29
49,sistranda,75,NO,86,63.73,41.0,34.45
50,noyon,75,FR,93,49.58,35.96,12.75
51,hilo,75,US,65,19.73,69.35,8.05
52,aloleng,4,PH,52,16.13,88.38,2.26
53,vitim,100,RU,85,59.45,33.8,20.78
54,dobric,100,RS,47,44.7,35.33,8.05
55,bathsheba,40,BB,65,13.22,78.8,16.11
56,srednekolymsk,100,RU,91,67.45,9.37,13.35
57,castro,0,BR,71,-24.79,61.88,3.4
58,georgetown,20,MY,66,5.41,85.82,5.82
59,punta arenas,40,CL,76,-53.15,48.09,11.41
60,hithadhoo,57,MV,66,-0.6,83.55,10.31
61,avarua,40,CK,74,-21.21,84.2,12.75
62,solnechnyy,100,RU,66,50.72,39.06,4.36
63,tiksi,20,RU,86,71.69,-4.61,3.51
64,vaini,75,TO,83,-21.2,82.4,9.17
65,eyl,94,SO,76,7.98,82.74,7.67
66,takoradi,36,GH,90,4.88,79.5,6.55
67,coquimbo,6,CL,87,-29.95,60.8,3.36
68,kolyshley,97,RU,33,52.7,48.0,5.79
