,city,cloudiness,country name,humidity,latitude,temperature,windspeed
0,rikitea,81,PF,77,-23.12,73.27,6.42
1,sabang,70,PH,90,13.8,81.0,1.99
2,jamestown,18,AU,90,-33.21,39.13,5.57
3,tiksi,100,RU,91,71.64,-14.41,7.74
4,hilo,1,US,54,19.71,75.4,4.7
5,punta arenas,40,CL,52,-53.16,46.26,26.4
6,torbay,90,CA,93,47.66,45.99,26.4
7,avarua,74,CK,83,-21.21,73.4,9.17
8,thousand oaks,1,US,64,34.17,79.3,11.41
9,ust-tsilma,100,RU,91,65.44,14.18,4.0
10,nhulunbuy,29,AU,88,-12.18,78.8,4.7
11,karratha,85,AU,62,-20.74,79.7,16.53
12,silikatnyy,90,RU,100,53.99,30.2,4.47
13,yar-sale,35,RU,98,66.83,-3.47,10.65
14,clyde river,90,CA,85,70.47,19.4,11.41
15,shadrinsk,49,RU,73,56.09,23.49,6.62
16,naze,75,NG,88,5.43,80.6,5.73
17,ushuaia,75,AR,91,-54.81,41.99,29.97
18,thompson,90,CA,72,55.74,14.0,4.83
19,wilmington,40,US,33,39.75,40.14,17.22
20,huicungo,20,PE,62,-7.28,89.6,4.18
21,petropavlovsk-kamchatskiy,40,RU,92,53.05,30.2,6.71
22,egvekinot,0,RU,72,66.32,14.02,8.46
23,erenhot,19,CN,39,43.65,37.67,8.5
24,krasnokamensk,1,RU,82,50.1,23.99,4.41
25,hamilton,40,CA,48,43.26,32.14,5.82
26,labuhan,5,ID,94,-2.54,72.82,1.88
27,mataura,100,NZ,93,-46.19,55.0,3.0
28,bluff,0,AU,25,-23.58,69.98,8.99
29,saint-augustin,75,CA,63,45.63,30.49,16.11
30,tual,99,ID,79,-5.67,80.87,3.4
31,luderitz,59,NA,87,-26.65,60.8,5.82
32,qaanaaq,0,GL,58,77.48,-4.04,6.42
33,vila franca do campo,40,PT,77,37.72,66.2,5.82
34,ilulissat,75,GL,29,69.22,39.2,13.87
35,coquimbo,75,CL,67,-29.95,62.6,11.41
36,vaini,28,IN,97,15.34,66.7,1.9
37,tuatapere,100,NZ,93,-46.13,55.0,3.0
38,hermanus,86,ZA,77,-34.42,66.24,11.01
39,te anau,100,NZ,98,-45.41,49.66,5.17
40,busselton,0,AU,39,-33.64,59.2,16.64
41,maniitsoq,100,GL,53,65.42,38.1,12.97
42,port alfred,61,ZA,79,-33.59,60.01,7.02
43,necochea,86,AR,34,-38.55,70.0,8.99
44,flin flon,90,CA,78,54.77,17.6,5.82
45,port elizabeth,1,US,28,39.31,42.67,12.75
46,lebu,30,ET,63,8.96,55.15,4.97
47,isangel,20,VU,94,-19.55,68.0,6.53
48,ulaangom,61,MN,77,49.98,30.09,0.56
49,cape town,67,ZA,59,-33.93,66.74,12.75
50,puerto ayora,75,EC,57,-0.74,76.05,9.17
51,oktyabrskiy,90,RU,93,55.61,38.07,4.47
52,saldanha,0,PT,74,41.42,43.81,9.48
53,hasaki,75,JP,87,35.73,46.24,6.93
54,salalah,20,OM,78,17.01,80.6,2.24
